年	州	州略号	州FIPSコード	州CENコード	州ICコード	役職	候補者	政党	主要政党	書き込み投票	候補者得票数	総投票数	バージョン
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領	レスター・マドックス	アメリカ独立党	その他	FALSE	9198	1182850	20171015
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ベンジャミン・“ベン”・ビュバー	禁酒党	その他	FALSE	6669	1182850	20171015
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	1954	1182850	20171015
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ロジャー・マクブライド	リバタリアン党	その他	FALSE	1481	1182850	20171015
1976	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	308	1182850	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	16481	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョン・ラリック	保守党	その他	FALSE	15010	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	13318	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ベンジャミン・“ベン”・ビュバー	ステーツマン党	その他	FALSE	1743	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	1629	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	クリフトン・デベリー	社会主義労働者党	その他	FALSE	1303	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	デイヴィッド・マクレイノルズ	社会党	その他	FALSE	1006	1341929	20171015
1980	アラバマ	AL	1	63	41	アメリカ合衆国大統領	バリー・コモナー	市民党	その他	FALSE	517	1341929	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	9504	1441713	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	4671	1441713	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ボブ・リチャーズ	ポピュリスト党	その他	FALSE	1401	1441713	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	メルヴィン・メイソン	社会主義労働者党	その他	FALSE	730	1441713	20171015
1984	アラバマ	AL	1	63	41	アメリカ合衆国大統領	デニス・セレット	アライアンス党	その他	FALSE	659	1441713	20171015
1988	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	8460	1378476	20171015
1988	アラバマ	AL	1	63	41	アメリカ合衆国大統領	エドワード・ウィン	無所属	その他	FALSE	4428	1378476	20171015
1988	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	506	1378476	20171015
1992	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	183109	1688060	20171015
1992	アラバマ	AL	1	63	41	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	5737	1688060	20171015
1992	アラバマ	AL	1	63	41	アメリカ合衆国大統領	その他	無所属	その他	FALSE	4128	1688060	20171015
1992	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	723	1688060	20171015
1996	アラバマ	AL	1	63	41	アメリカ合衆国大統領		無所属	その他	FALSE	95030	1534349	20171015
1996	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	5290	1534349	20171015
1996	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	1697	1534349	20171015
1996	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	1123	1534349	20171015
2000	アラバマ	AL	1	63	41	アメリカ合衆国大統領		無所属	その他	FALSE	25896	1666272	20171015
2000	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	5893	1666272	20171015
2000	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	699	1666272	20171015
2004	アラバマ	AL	1	63	41	アメリカ合衆国大統領	その他	無所属	その他	FALSE	12190	1883415	20171015
2004	アラバマ	AL	1	63	41	アメリカ合衆国大統領	その他		その他	TRUE	898	1883415	20171015
2008	アラバマ	AL	1	63	41	アメリカ合衆国大統領		無所属	その他	FALSE	16089	2099819	20171015
2008	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	3705	2099819	20171015
2012	アラバマ	AL	1	63	41	アメリカ合衆国大統領		無所属	その他	FALSE	18706	2074338	20171015
2012	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	4011	2074338	20171015
2016	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	44467	2123372	20171015
2016	アラバマ	AL	1	63	41	アメリカ合衆国大統領			その他	TRUE	21712	2123372	20171015
2016	アラバマ	AL	1	63	41	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	9391	2123372	20171015
1976	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	44058	123574	20171015
1980	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	41842	158445	20171015
1984	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	62007	207605	20171015
1988	アラスカ	AK	2	94	81	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	72584	200116	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	78294	258506	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	80380	241620	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	79004	285560	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	111025	312598	20171015
2008	アラスカ	AK	2	94	81	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	123594	326197	20171015
2012	アラスカ	AK	2	94	81	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	122640	300495	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	116454	318608	20171015
1976	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	71555	123574	20171015
1980	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	86112	158445	20171015
1984	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	138377	207605	20171015
1988	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	119251	200116	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	102000	258506	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	122746	241620	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	167398	285560	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	190889	312598	20171015
2008	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	193841	326197	20171015
2012	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	164676	300495	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	163387	318608	20171015
1976	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロジャー・マクブライド	リバタリアン党	その他	FALSE	6785	123574	20171015
1976	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	1176	123574	20171015
1980	アラスカ	AK	2	94	81	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	18479	158445	20171015
1980	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	11155	158445	20171015
1980	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	857	158445	20171015
1984	アラスカ	AK	2	94	81	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	6378	207605	20171015
1984	アラスカ	AK	2	94	81	アメリカ合衆国大統領	その他		その他	FALSE	843	207605	20171015
1988	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	5484	200116	20171015
1988	アラスカ	AK	2	94	81	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	1024	200116	20171015
1988	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	957	200116	20171015
1988	アラスカ	AK	2	94	81	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	国民経済再建党	その他	FALSE	816	200116	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	73481	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジェームズ・“ボー”・グリッツ	アメリカ第一党	その他	FALSE	1379	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	1378	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	経済再建無所属連合	その他	FALSE	469	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	433	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ハワード・フィリップス	納税者党	その他	FALSE	377	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	365	258506	20171015
1992	アラスカ	AK	2	94	81	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	330	258506	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロス・ペロー	改革党	その他	FALSE	26333	241620	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	7597	241620	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	2276	241620	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ハワード・フィリップス	米国納税者党	その他	FALSE	925	241620	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	729	241620	20171015
1996	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	634	241620	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	28747	285560	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	パトリック・“パット”・ブキャナン	改革党	その他	FALSE	5192	285560	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	2636	285560	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	1068	285560	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	919	285560	20171015
2000	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ハワード・フィリップス	憲法党	その他	FALSE	596	285560	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ラルフ・ネーダー	ポピュリスト党	その他	FALSE	5069	312598	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	マイケル・ペルートカ	アラスカ独立党	その他	FALSE	2092	312598	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	1675	312598	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	デイヴィッド・コブ	緑の党	その他	FALSE	1058	312598	20171015
2004	アラスカ	AK	2	94	81	アメリカ合衆国大統領	その他		その他	TRUE	790	312598	20171015
2008	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	3783	326197	20171015
2008	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	1730	326197	20171015
2008	アラスカ	AK	2	94	81	アメリカ合衆国大統領	チャールズ・“チャック”・ボールドウィン	アラスカ独立党	その他	FALSE	1660	326197	20171015
2008	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ボブ・バー	リバタリアン党	その他	FALSE	1589	326197	20171015
2012	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	7392	300495	20171015
2012	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	2917	300495	20171015
2012	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	2870	300495	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	18725	318608	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領			その他	TRUE	9201	318608	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	5735	318608	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ダレル・L・キャッスル	憲法党	その他	FALSE	3866	318608	20171015
2016	アラスカ	AK	2	94	81	アメリカ合衆国大統領	ロキ・デ・ラ・フエンテ	無所属	その他	FALSE	1240	318608	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	295602	742719	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	246843	873945	20171015
1984	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	333854	1025897	20171015
1988	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	454029	1171873	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	543050	1486975	20171015
1996	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	653288	1404405	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	685341	1532016	20171015
2004	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	893524	2012585	20171015
2008	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	1034707	2293475	20171015
2012	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	1025232	2299254	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	1161167	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領		民主党	民主党	TRUE	42	2573165	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	418642	742719	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	529688	873945	20171015
1984	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	681416	1025897	20171015
1988	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	702541	1171873	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	572086	1486975	20171015
1996	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	622073	1404405	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	781652	1532016	20171015
2004	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	1104294	2012585	20171015
2008	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	1230111	2293475	20171015
2012	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	1233654	2299254	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	1252401	2573165	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ユージン・“ジーン”・マッカーシー	無所属	その他	FALSE	19229	742719	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロジャー・マクブライド	リバタリアン党	その他	FALSE	7647	742719	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ピーター・カメホ	社会主義労働者党	その他	FALSE	928	742719	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	トーマス・J・アンダーソン	アメリカ党	その他	FALSE	564	742719	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	レスター・マドックス	アメリカ独立党	その他	FALSE	85	742719	20171015
1976	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	22	742719	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	76952	873945	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	18784	873945	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	クリフトン・デベリー	社会主義労働者党	その他	FALSE	1100	873945	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	バリー・コモナー	市民党	その他	FALSE	551	873945	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	25	873945	20171015
1980	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ディアドラ・グリスウォルド	労働者世界党	その他	FALSE	2	873945	20171015
1984	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	10585	1025897	20171015
1984	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	その他		その他	FALSE	42	1025897	20171015
1988	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	13351	1171873	20171015
1988	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	1662	1171873	20171015
1988	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	290	1171873	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	353741	1486975	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジェームズ・“ボー”・グリッツ	無所属	その他	FALSE	8141	1486975	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	6759	1486975	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	2267	1486975	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	923	1486975	20171015
1992	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	8	1486975	20171015
1996	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロス・ペロー	改革党	その他	FALSE	112072	1404405	20171015
1996	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	14358	1404405	20171015
1996	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	2573	1404405	20171015
1996	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	その他		その他	FALSE	41	1404405	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	45645	1532016	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	パトリック・“パット”・ブキャナン	改革党	その他	FALSE	12373	1532016	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	L・ニール・スミス	リバタリアン党	その他	FALSE	5775	1532016	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	1120	1532016	20171015
2000	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	110	1532016	20171015
2004	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	11856	2012585	20171015
2004	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	その他		その他	TRUE	2911	2012585	20171015
2008	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ボブ・バー	リバタリアン党	その他	FALSE	12555	2293475	20171015
2008	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	11301	2293475	20171015
2008	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	シンシア・マッキニー	緑の党	その他	FALSE	3406	2293475	20171015
2008	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	1395	2293475	20171015
2012	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	32100	2299254	20171015
2012	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	7816	2299254	20171015
2012	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領			その他	TRUE	452	2299254	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	106327	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	34345	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領		無所属	その他	TRUE	17473	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ダレル・L・キャッスル	憲法党	その他	TRUE	1058	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領		無所属	その他	TRUE	311	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	ロキ・デ・ラ・フエンテ	アメリカ・デルタ党	その他	TRUE	29	2573165	20171015
2016	アリゾナ	AZ	4	86	61	アメリカ合衆国大統領	シーラ・“サム”・ティトル	ウィ・ザ・ピープル党	その他	TRUE	12	2573165	20171015
1976	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	498604	767535	20171015
1980	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	398041	837582	20171015
1984	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	338646	884406	20171015
1988	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	349237	827738	20171015
1992	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	505823	950653	20171015
1996	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	475171	884262	20171015
2000	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	422768	921781	20171015
2004	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	469953	1054945	20171015
2008	アーカンソー	AR	5	71	42	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	422310	1086617	20171015
