年	州	州略号	政党（簡略）	政党（詳細）	得票数	得票率（%）
1976	ミネソタ	MN	リバタリアン党	リバタリアン党	3529	0.18
1976	ミネソタ	MN	その他	共産党	1092	0.06
1976	ミネソタ	MN	その他	人民党	635	0.03
1976	ミネソタ	MN	その他	国際開発銀行党	543	0.03
1976	ミネソタ	MN	その他	産業政府党	370	0.02
1976	ミネソタ	MN	その他	社会党	354	0.02
1976	ミネソタ	MN	その他		342	0.02
1976	ミシシッピ	MS	民主党	民主党	381329	49.63
1976	ミシシッピ	MS	共和党	共和党	366846	47.74
1976	ミシシッピ	MS	その他	アメリカ党	6678	0.87
1976	ミシシッピ	MS	その他	無所属	4074	0.53
1976	ミシシッピ	MS	その他	アメリカ独立党	4049	0.53
1976	ミシシッピ	MS	その他	社会主義労働者党	2805	0.37
1976	ミシシッピ	MS	リバタリアン党	リバタリアン党	2609	0.34
1976	ミズーリ	MO	民主党	民主党	998387	51.10
1976	ミズーリ	MO	共和党	共和党	927443	47.47
1976	ミズーリ	MO	その他	無所属	24029	1.23
1976	ミズーリ	MO	その他		3741	0.19
1976	モンタナ	MT	共和党	共和党	173703	52.84
1976	モンタナ	MT	民主党	民主党	149259	45.40
1976	モンタナ	MT	その他	アメリカ党	5772	1.76
1976	ネブラスカ	NE	共和党	共和党	359219	59.20
1976	ネブラスカ	NE	民主党	民主党	233293	38.45
1976	ネブラスカ	NE	その他	無所属	9383	1.55
1976	ネブラスカ	NE	その他	アメリカ独立党	3378	0.56
1976	ネブラスカ	NE	リバタリアン党	リバタリアン党	1476	0.24
1976	ネバダ	NV	共和党	共和党	101273	50.17
1976	ネバダ	NV	民主党	民主党	92479	45.81
1976	ネバダ	NV	その他		5108	2.53
1976	ネバダ	NV	リバタリアン党	リバタリアン党	1519	0.75
1976	ネバダ	NV	その他	アメリカ独立党	1497	0.74
1976	ニューハンプシャー	NH	共和党	共和党	185935	54.75
1976	ニューハンプシャー	NH	民主党	民主党	147645	43.47
1976	ニューハンプシャー	NH	その他	無所属	4095	1.21
1976	ニューハンプシャー	NH	リバタリアン党	リバタリアン党	936	0.28
1976	ニューハンプシャー	NH	その他		603	0.18
1976	ニューハンプシャー	NH	その他	米国労働党	186	0.05
1976	ニューハンプシャー	NH	その他	社会主義労働者党	161	0.05
1976	ニューハンプシャー	NH	その他	社会主義労働党	66	0.02
1976	ニュージャージー	NJ	共和党	共和党	1509688	50.08
1976	ニュージャージー	NJ	民主党	民主党	1444653	47.92
1976	ニュージャージー	NJ	その他	無所属	32717	1.09
1976	ニュージャージー	NJ	リバタリアン党	リバタリアン党	9449	0.31
1976	ニュージャージー	NJ	その他	アメリカ独立党	7716	0.26
1976	ニュージャージー	NJ	その他	社会主義労働党	3686	0.12
1976	ニュージャージー	NJ	その他	共産党	1662	0.06
1976	ニュージャージー	NJ	その他	米国労働党	1650	0.05
1976	ニュージャージー	NJ	その他	社会主義労働者党	1184	0.04
1976	ニュージャージー	NJ	その他	平和と自由党	1044	0.03
1976	ニュージャージー	NJ	その他	禁酒党	554	0.02
1976	ニュージャージー	NJ	その他	社会党	469	0.02
1976	ニューメキシコ	NM	共和党	共和党	211419	50.75
1976	ニューメキシコ	NM	民主党	民主党	201148	48.28
1976	ニューメキシコ	NM	その他	社会主義労働者党	2462	0.59
1976	ニューメキシコ	NM	リバタリアン党	リバタリアン党	1110	0.27
1976	ニューメキシコ	NM	その他	社会党	240	0.06
1976	ニューメキシコ	NM	その他	禁酒党	211	0.05
1976	ニューヨーク	NY	民主党	民主党	3244165	48.65
1976	ニューヨーク	NY	共和党	共和党	2825913	42.38
1976	ニューヨーク	NY	その他	保守党	274878	4.12
1976	ニューヨーク	NY	その他	自由党（リベラル）	145393	2.18
1976	ニューヨーク	NY	その他		143037	2.15
1976	ニューヨーク	NY	その他	自由リバタリアン党	12197	0.18
1976	ニューヨーク	NY	その他	共産党	10270	0.15
1976	ニューヨーク	NY	その他	社会主義労働者党	6996	0.10
1976	ニューヨーク	NY	その他	労働党	5413	0.08
1976	ノースカロライナ	NC	民主党	民主党	927365	55.27
1976	ノースカロライナ	NC	共和党	共和党	741960	44.22
1976	ノースカロライナ	NC	その他	アメリカ党	5607	0.33
1976	ノースカロライナ	NC	リバタリアン党	リバタリアン党	2219	0.13
1976	ノースカロライナ	NC	その他	米国労働党	755	0.04
1976	ノースダコタ	ND	共和党	共和党	153684	51.69
1976	ノースダコタ	ND	民主党	民主党	136078	45.77
1976	ノースダコタ	ND	その他	アメリカ党	3698	1.24
1976	ノースダコタ	ND	その他	無所属	2952	0.99
1976	ノースダコタ	ND	その他	アメリカ独立党	269	0.09
1976	ノースダコタ	ND	リバタリアン党	リバタリアン党	256	0.09
1976	ノースダコタ	ND	その他	米国労働党	142	0.05
1976	ノースダコタ	ND	その他	共産党	85	0.03
1976	ノースダコタ	ND	その他	禁酒党	63	0.02
1976	ノースダコタ	ND	その他	社会主義労働者党	43	0.01
1976	ノースダコタ	ND	その他	社会党	38	0.01
1976	オハイオ	OH	民主党	民主党	2009959	48.90
1976	オハイオ	OH	共和党	共和党	2000626	48.67
1976	オハイオ	OH	その他	無所属	58267	1.42
1976	オハイオ	OH	その他	アメリカ独立党	15508	0.38
1976	オハイオ	OH	リバタリアン党	リバタリアン党	8952	0.22
1976	オハイオ	OH	その他	共産党	7817	0.19
1976	オハイオ	OH	その他	社会主義労働者党	4833	0.12
1976	オハイオ	OH	その他	米国労働党	4364	0.11
1976	オハイオ	OH	その他	社会主義労働党	68	0.00
1976	オハイオ	OH	その他	禁酒党	62	0.00
1976	オクラホマ	OK	共和党	共和党	545708	49.96
1976	オクラホマ	OK	民主党	民主党	532442	48.75
1976	オクラホマ	OK	その他	無所属	14101	1.29
1976	オレゴン	OR	共和党	共和党	492120	47.78
1976	オレゴン	OR	民主党	民主党	490407	47.62
1976	オレゴン	OR	その他	無所属	40207	3.90
1976	オレゴン	OR	その他		6107	0.59
1976	オレゴン	OR	その他	アメリカ党	1035	0.10
1976	ペンシルベニア	PA	民主党	民主党	2328677	50.40
1976	ペンシルベニア	PA	共和党	共和党	2205604	47.73
1976	ペンシルベニア	PA	その他	マッカーシー'76	50584	1.09
1976	ペンシルベニア	PA	その他	憲法党	25344	0.55
1976	ペンシルベニア	PA	その他	社会主義労働者党	3009	0.07
1976	ペンシルベニア	PA	その他		2934	0.06
1976	ペンシルベニア	PA	その他	米国労働党	2744	0.06
1976	ペンシルベニア	PA	その他	共産党	1891	0.04
1976	ロードアイランド	RI	民主党	民主党	227636	55.44
1976	ロードアイランド	RI	共和党	共和党	181249	44.14
1976	ロードアイランド	RI	リバタリアン党	リバタリアン党	715	0.17
1976	ロードアイランド	RI	その他	社会主義労働者党	462	0.11
1976	ロードアイランド	RI	その他	共産党	334	0.08
1976	ロードアイランド	RI	その他	社会主義労働党	188	0.05
1976	サウスカロライナ	SC	民主党	民主党	450807	56.17
1976	サウスカロライナ	SC	共和党	共和党	346149	43.13
1976	サウスカロライナ	SC	その他	アメリカ党	2996	0.37
1976	サウスカロライナ	SC	その他	アメリカ独立党	1950	0.24
1976	サウスカロライナ	SC	その他		681	0.08
1976	サウスダコタ	SD	共和党	共和党	151505	50.39
1976	サウスダコタ	SD	民主党	民主党	147068	48.91
1976	サウスダコタ	SD	リバタリアン党	リバタリアン党	1619	0.54
1976	サウスダコタ	SD	その他	共産党	318	0.11
1976	サウスダコタ	SD	その他	社会主義労働者党	168	0.06
1976	テネシー	TN	民主党	民主党	825879	55.94
1976	テネシー	TN	共和党	共和党	633969	42.94
1976	テネシー	TN	その他	無所属	5769	0.39
1976	テネシー	TN	その他	無所属	5004	0.34
1976	テネシー	TN	その他	無所属	2303	0.16
1976	テネシー	TN	その他	無所属	1375	0.09
1976	テネシー	TN	その他	無所属	547	0.04
1976	テネシー	TN	その他	無所属	512	0.03
1976	テネシー	TN	その他	無所属	442	0.03
1976	テネシー	TN	その他	無所属	316	0.02
1976	テネシー	TN	その他		230	0.02
1976	テキサス	TX	民主党	民主党	2082319	51.14
1976	テキサス	TX	共和党	共和党	1953300	47.97
1976	テキサス	TX	その他	無所属	20118	0.49
1976	テキサス	TX	その他	アメリカ党	11442	0.28
1976	テキサス	TX	その他		2982	0.07
1976	テキサス	TX	その他	社会主義労働者党	1723	0.04
1976	ユタ	UT	共和党	共和党	337908	62.43
1976	ユタ	UT	民主党	民主党	182110	33.65
1976	ユタ	UT	その他	アメリカ党	13304	2.46
1976	ユタ	UT	その他	無所属	3907	0.72
1976	ユタ	UT	その他	自由党（リベラル）	2438	0.45
1976	ユタ	UT	その他	憂慮する市民党	1162	0.21
1976	ユタ	UT	その他	無所属	268	0.05
1976	ユタ	UT	その他	無所属	121	0.02
1976	バーモント	VT	共和党	共和党	100387	54.59
1976	バーモント	VT	民主党	民主党	77798	42.30
1976	バーモント	VT	その他	無所属	4001	2.18
1976	バーモント	VT	その他		1090	0.59
1976	バーモント	VT	その他	社会主義労働者党	430	0.23
1976	バーモント	VT	その他	米国労働党	196	0.11
1976	バージニア	VA	共和党	共和党	836554	49.29
1976	バージニア	VA	民主党	民主党	813896	47.96
1976	バージニア	VA	その他	社会主義労働者党	17802	1.05
1976	バージニア	VA	その他	アメリカ党	16686	0.98
1976	バージニア	VA	その他	米国労働党	7508	0.44
1976	バージニア	VA	リバタリアン党	リバタリアン党	4648	0.27
1976	ワシントン	WA	共和党	共和党	777732	50.00
1976	ワシントン	WA	民主党	民主党	717323	46.11
1976	ワシントン	WA	その他	無所属	36986	2.38
1976	ワシントン	WA	その他	アメリカ独立党	8585	0.55
1976	ワシントン	WA	その他		5482	0.35
1976	ワシントン	WA	リバタリアン党	リバタリアン党	5042	0.32
1976	ワシントン	WA	その他	憲法党	1046	0.07
1976	ワシントン	WA	その他	社会主義労働者党	905	0.06
1976	ワシントン	WA	その他	米国労働党	903	0.06
1976	ワシントン	WA	その他	共産党	817	0.05
1976	ワシントン	WA	その他	社会主義労働党	713	0.05
1976	ウェストバージニア	WV	民主党	民主党	435864	58.07
1976	ウェストバージニア	WV	共和党	共和党	314726	41.93
1976	ウィスコンシン	WI	民主党	民主党	1040232	49.50
1976	ウィスコンシン	WI	共和党	共和党	1004987	47.83
1976	ウィスコンシン	WI	その他	無所属	34943	1.66
1976	ウィスコンシン	WI	その他	アメリカ独立党	8552	0.41
1976	ウィスコンシン	WI	その他	社会党	4298	0.20
1976	ウィスコンシン	WI	リバタリアン党	リバタリアン党	3814	0.18
1976	ウィスコンシン	WI	その他		2430	0.12
1976	ウィスコンシン	WI	その他	社会主義労働者党	1691	0.08
1976	ウィスコンシン	WI	その他	社会主義労働党	389	0.02
1976	ワイオミング	WY	共和党	共和党	92717	59.30
1976	ワイオミング	WY	民主党	民主党	62239	39.81
1976	ワイオミング	WY	その他		1387	0.89
1980	アラバマ	AL	共和党	共和党	654192	48.75
1980	アラバマ	AL	民主党	民主党	636730	47.45
1980	アラバマ	AL	その他	無所属	16481	1.23
1980	アラバマ	AL	その他	保守党	15010	1.12
1980	アラバマ	AL	リバタリアン党	リバタリアン党	13318	0.99
1980	アラバマ	AL	その他	ステーツマン党	1743	0.13
1980	アラバマ	AL	その他	共産党	1629	0.12
1980	アラバマ	AL	その他	社会主義労働者党	1303	0.10
1980	アラバマ	AL	その他	社会党	1006	0.07
1980	アラバマ	AL	その他	市民党	517	0.04
1980	アラスカ	AK	共和党	共和党	86112	54.35
1980	アラスカ	AK	民主党	民主党	41842	26.41
1980	アラスカ	AK	リバタリアン党	リバタリアン党	18479	11.66
1980	アラスカ	AK	その他	無所属	11155	7.04
1980	アラスカ	AK	その他		857	0.54
1980	アリゾナ	AZ	共和党	共和党	529688	60.61
1980	アリゾナ	AZ	民主党	民主党	246843	28.24
1980	アリゾナ	AZ	その他	無所属	76952	8.81
1980	アリゾナ	AZ	リバタリアン党	リバタリアン党	18784	2.15
1980	アリゾナ	AZ	その他	社会主義労働者党	1100	0.13
1980	アリゾナ	AZ	その他	市民党	551	0.06
1980	アリゾナ	AZ	その他	共産党	25	0.00
1980	アリゾナ	AZ	その他	労働者世界党	2	0.00
1980	アーカンソー	AR	共和党	共和党	403164	48.13
1980	アーカンソー	AR	民主党	民主党	398041	47.52
1980	アーカンソー	AR	その他	無所属	22468	2.68
1980	アーカンソー	AR	リバタリアン党	リバタリアン党	8970	1.07
1980	アーカンソー	AR	その他	市民党	2345	0.28
1980	アーカンソー	AR	その他	ステーツマン党	1350	0.16
1980	アーカンソー	AR	その他	共産党	1244	0.15
1980	カリフォルニア	CA	共和党	共和党	4522994	52.70
1980	カリフォルニア	CA	民主党	民主党	3082943	35.92
1980	カリフォルニア	CA	その他	無所属	739618	8.62
1980	カリフォルニア	CA	リバタリアン党	リバタリアン党	148390	1.73
1980	カリフォルニア	CA	その他	市民党	61046	0.71
1980	カリフォルニア	CA	その他	平和と自由党	18106	0.21
1980	カリフォルニア	CA	その他	アメリカ独立党	9841	0.11
1980	コロラド	CO	共和党	共和党	652264	55.07
1980	コロラド	CO	民主党	民主党	368009	31.07
1980	コロラド	CO	その他	国民統一キャンペーン	130633	11.03
1980	コロラド	CO	リバタリアン党	リバタリアン党	25744	2.17
1980	コロラド	CO	その他	市民党	5614	0.47
1980	コロラド	CO	その他	ステーツマン党	1180	0.10
1980	コロラド	CO	その他	社会主義労働者党	519	0.04
1980	コロラド	CO	その他	共産党	487	0.04
1980	コネチカット	CT	共和党	共和党	677210	48.16
1980	コネチカット	CT	民主党	民主党	541732	38.52
1980	コネチカット	CT	その他	アンダーソン連合	171807	12.22
1980	コネチカット	CT	リバタリアン党	リバタリアン党	8570	0.61
1980	コネチカット	CT	その他	市民党	6130	0.44
1980	コネチカット	CT	その他		836	0.06
1980	デラウェア	DE	共和党	共和党	111252	47.21
1980	デラウェア	DE	民主党	民主党	105754	44.87
1980	デラウェア	DE	その他	無所属	16288	6.91
1980	デラウェア	DE	リバタリアン党	リバタリアン党	1974	0.84
1980	デラウェア	DE	その他	アメリカ党	400	0.17
1980	コロンビア特別区	DC	民主党	民主党	130231	74.89
1980	コロンビア特別区	DC	共和党	共和党	23313	13.41
1980	コロンビア特別区	DC	その他	無所属	16131	9.28
1980	コロンビア特別区	DC	その他	市民党	1826	1.05
1980	コロンビア特別区	DC	リバタリアン党	リバタリアン党	1104	0.63
1980	コロンビア特別区	DC	その他		690	0.40
1980	コロンビア特別区	DC	その他	共産党	369	0.21
1980	コロンビア特別区	DC	その他	社会主義労働者党	173	0.10
1980	コロンビア特別区	DC	その他	労働者世界党	52	0.03
1980	フロリダ	FL	共和党	共和党	2046951	55.52
1980	フロリダ	FL	民主党	民主党	1419475	38.50
1980	フロリダ	FL	その他	無所属	189692	5.14
1980	フロリダ	FL	リバタリアン党	リバタリアン党	30524	0.83
1980	フロリダ	FL	その他		285	0.01
1980	ジョージア	GA	民主党	民主党	890955	55.80
1980	ジョージア	GA	共和党	共和党	654168	40.97
1980	ジョージア	GA	その他	無所属	36055	2.26
1980	ジョージア	GA	リバタリアン党	リバタリアン党	15627	0.98
1980	ハワイ	HI	民主党	民主党	135879	44.80
1980	ハワイ	HI	共和党	共和党	130112	42.90
1980	ハワイ	HI	その他	無所属	32021	10.56
1980	ハワイ	HI	リバタリアン党	リバタリアン党	3269	1.08
1980	ハワイ	HI	その他	市民党	1548	0.51
1980	ハワイ	HI	その他	共産党	458	0.15
1980	アイダホ	ID	共和党	共和党	290699	66.46
1980	アイダホ	ID	民主党	民主党	110192	25.19
1980	アイダホ	ID	その他	無所属	27058	6.19
1980	アイダホ	ID	リバタリアン党	リバタリアン党	8425	1.93
1980	アイダホ	ID	その他	アメリカ独立党	1057	0.24
1980	イリノイ	IL	共和党	共和党	2358049	49.65
1980	イリノイ	IL	民主党	民主党	1981413	41.72
1980	イリノイ	IL	その他	無所属	346754	7.30
1980	イリノイ	IL	リバタリアン党	リバタリアン党	38939	0.82
1980	イリノイ	IL	その他	市民党	10692	0.23
1980	イリノイ	IL	その他	共産党	9711	0.20
1980	イリノイ	IL	その他	労働者世界党	2257	0.05
1980	イリノイ	IL	その他	社会主義労働者党	1302	0.03
1980	イリノイ	IL	その他		604	0.01
1980	インディアナ	IN	共和党	共和党	1255656	56.01
1980	インディアナ	IN	民主党	民主党	844197	37.65
1980	インディアナ	IN	その他	無所属	111639	4.98
1980	インディアナ	IN	リバタリアン党	リバタリアン党	19627	0.88
1980	インディアナ	IN	その他	市民党	4852	0.22
1980	インディアナ	IN	その他	アメリカ党	4750	0.21
1980	インディアナ	IN	その他	共産党	702	0.03
1980	インディアナ	IN	その他	社会主義労働者党	610	0.03
1980	アイオワ	IA	共和党	共和党	676026	51.31
1980	アイオワ	IA	民主党	民主党	508672	38.60
1980	アイオワ	IA	その他	請願指名	115633	8.78
1980	アイオワ	IA	リバタリアン党	リバタリアン党	13123	1.00
1980	アイオワ	IA	その他	市民党	2273	0.17
1980	アイオワ	IA	その他	社会党	534	0.04
1980	アイオワ	IA	その他		519	0.04
1980	アイオワ	IA	その他	共産党	298	0.02
1980	アイオワ	IA	その他	社会主義労働者党	244	0.02
1980	アイオワ	IA	その他	アメリカ党	189	0.01
1980	アイオワ	IA	その他	ステーツマン党	150	0.01
1980	カンザス	KS	共和党	共和党	566812	57.85
1980	カンザス	KS	民主党	民主党	326150	33.29
1980	カンザス	KS	その他	無所属	68231	6.96
1980	カンザス	KS	リバタリアン党	リバタリアン党	14470	1.48
1980	カンザス	KS	その他	アメリカ党	1555	0.16
1980	カンザス	KS	その他	共産党	967	0.10
1980	カンザス	KS	その他	ステーツマン党	821	0.08
1980	カンザス	KS	その他	アメリカ独立党	789	0.08
1980	ケンタッキー	KY	共和党	共和党	635274	49.03
1980	ケンタッキー	KY	民主党	民主党	617417	47.65
1980	ケンタッキー	KY	その他	無所属	31127	2.40
1980	ケンタッキー	KY	リバタリアン党	リバタリアン党	5531	0.43
1980	ケンタッキー	KY	その他	生命尊重党	4233	0.33
1980	ケンタッキー	KY	その他	市民党	1304	0.10
1980	ケンタッキー	KY	その他	社会主義労働者党	393	0.03
1980	ケンタッキー	KY	その他	共産党	348	0.03
1980	ルイジアナ	LA	共和党	共和党	792853	51.20
1980	ルイジアナ	LA	民主党	民主党	708453	45.75
1980	ルイジアナ	LA	その他	無所属	26345	1.70
1980	ルイジアナ	LA	その他	アメリカ独立党	10333	0.67
1980	ルイジアナ	LA	リバタリアン党	リバタリアン党	8240	0.53
1980	ルイジアナ	LA	その他	市民党	1584	0.10
1980	ルイジアナ	LA	その他	社会主義労働者党	783	0.05
1980	メイン	ME	共和党	共和党	238522	45.61
1980	メイン	ME	民主党	民主党	220974	42.25
1980	メイン	ME	その他	無所属	53327	10.20
1980	メイン	ME	リバタリアン党	リバタリアン党	5119	0.98
1980	メイン	ME	その他	市民党	4394	0.84
1980	メイン	ME	その他	共産党	591	0.11
1980	メイン	ME	その他		84	0.02
1980	メリーランド	MD	民主党	民主党	726161	47.14
1980	メリーランド	MD	共和党	共和党	680606	44.18
1980	メリーランド	MD	その他	無所属	119537	7.76
1980	メリーランド	MD	リバタリアン党	リバタリアン党	14192	0.92
1980	マサチューセッツ	MA	共和党	共和党	1057631	41.90
1980	マサチューセッツ	MA	民主党	民主党	1053802	41.75
1980	マサチューセッツ	MA	その他	無所属	382539	15.16
1980	マサチューセッツ	MA	リバタリアン党	リバタリアン党	22038	0.87
