文字	言語	頻度（%）
j	英語	0.15
x	英語	0.15
q	英語	0.1
z	英語	0.07
a	エスペラント語	12.12
i	エスペラント語	10.01
e	エスペラント語	9
o	エスペラント語	8.78
n	エスペラント語	7.96
l	エスペラント語	6.1
s	エスペラント語	6.09
r	エスペラント語	5.91
t	エスペラント語	5.28
k	エスペラント語	4.16
j	エスペラント語	3.5
u	エスペラント語	3.18
d	エスペラント語	3.04
m	エスペラント語	2.99
p	エスペラント語	2.76
v	エスペラント語	1.9
g	エスペラント語	1.17
f	エスペラント語	1.04
b	エスペラント語	0.98
c	エスペラント語	0.78
z	エスペラント語	0.49
h	エスペラント語	0.38
q	エスペラント語	0
w	エスペラント語	0
x	エスペラント語	0
y	エスペラント語	0
a	フィンランド語	12.22
i	フィンランド語	10.82
n	フィンランド語	8.83
t	フィンランド語	8.75
e	フィンランド語	7.97
s	フィンランド語	7.86
l	フィンランド語	5.76
o	フィンランド語	5.61
u	フィンランド語	5.01
k	フィンランド語	4.97
m	フィンランド語	3.2
r	フィンランド語	2.87
v	フィンランド語	2.25
j	フィンランド語	2.04
h	フィンランド語	1.85
p	フィンランド語	1.84
y	フィンランド語	1.75
d	フィンランド語	1.04
g	フィンランド語	0.39
b	フィンランド語	0.28
c	フィンランド語	0.28
f	フィンランド語	0.19
w	フィンランド語	0.09
z	フィンランド語	0.05
x	フィンランド語	0.03
q	フィンランド語	0.01
e	フランス語	14.72
s	フランス語	7.95
a	フランス語	7.64
i	フランス語	7.53
t	フランス語	7.24
n	フランス語	7.1
r	フランス語	6.69
u	フランス語	6.31
o	フランス語	5.8
l	フランス語	5.46
d	フランス語	3.67
c	フランス語	3.26
m	フランス語	2.97
p	フランス語	2.52
v	フランス語	1.84
q	フランス語	1.36
f	フランス語	1.07
b	フランス語	0.90
g	フランス語	0.87
h	フランス語	0.74
j	フランス語	0.61
x	フランス語	0.43
z	フランス語	0.33
y	フランス語	0.13
k	フランス語	0.07
w	フランス語	0.05
e	ドイツ語	16.4
n	ドイツ語	9.78
s	ドイツ語	7.27
r	ドイツ語	7
i	ドイツ語	6.55
a	ドイツ語	6.52
t	ドイツ語	6.15
d	ドイツ語	5.08
h	ドイツ語	4.58
u	ドイツ語	4.17
l	ドイツ語	3.44
g	ドイツ語	3.01
c	ドイツ語	2.73
o	ドイツ語	2.59
m	ドイツ語	2.53
w	ドイツ語	1.92
b	ドイツ語	1.89
f	ドイツ語	1.66
k	ドイツ語	1.42
z	ドイツ語	1.13
v	ドイツ語	0.85
p	ドイツ語	0.67
j	ドイツ語	0.27
y	ドイツ語	0.04
x	ドイツ語	0.03
q	ドイツ語	0.02
a	アイスランド語	10.11
r	アイスランド語	8.58
n	アイスランド語	7.71
i	アイスランド語	7.58
e	アイスランド語	6.42
s	アイスランド語	5.63
t	アイスランド語	4.95
u	アイスランド語	4.56
l	アイスランド語	4.53
g	アイスランド語	4.24
m	アイスランド語	4.04
k	アイスランド語	3.31
f	アイスランド語	3.01
v	アイスランド語	2.44
o	アイスランド語	2.17
h	アイスランド語	1.87
d	アイスランド語	1.58
j	アイスランド語	1.14
b	アイスランド語	1.04
y	アイスランド語	0.9
p	アイスランド語	0.79
x	アイスランド語	0.05
c	アイスランド語	0
q	アイスランド語	0
w	アイスランド語	0
z	アイスランド語	0
e	イタリア語	11.79
a	イタリア語	11.75
i	イタリア語	10.14
o	イタリア語	9.83
n	イタリア語	6.88
l	イタリア語	6.51
r	イタリア語	6.37
t	イタリア語	5.62
s	イタリア語	4.98
c	イタリア語	4.5
d	イタリア語	3.74
p	イタリア語	3.06
u	イタリア語	3.01
m	イタリア語	2.51
v	イタリア語	2.1
g	イタリア語	1.64
z	イタリア語	1.18
f	イタリア語	1.15
b	イタリア語	0.93
h	イタリア語	0.64
q	イタリア語	0.51
w	イタリア語	0.03
y	イタリア語	0.02
j	イタリア語	0.01
k	イタリア語	0.01
x	イタリア語	0
a	ポーランド語	8.91
i	ポーランド語	8.21
o	ポーランド語	7.75
e	ポーランド語	7.66
z	ポーランド語	5.64
n	ポーランド語	5.52
r	ポーランド語	4.69
w	ポーランド語	4.65
s	ポーランド語	4.32
t	ポーランド語	3.98
c	ポーランド語	3.96
y	ポーランド語	3.76
k	ポーランド語	3.51
d	ポーランド語	3.25
p	ポーランド語	3.13
m	ポーランド語	2.8
u	ポーランド語	2.5
j	ポーランド語	2.28
l	ポーランド語	2.1
b	ポーランド語	1.47
g	ポーランド語	1.42
h	ポーランド語	1.08
f	ポーランド語	0.3
q	ポーランド語	0.14
v	ポーランド語	0.04
x	ポーランド語	0.02
a	ポルトガル語	14.63
e	ポルトガル語	12.57
o	ポルトガル語	9.74
s	ポルトガル語	6.81
r	ポルトガル語	6.53
i	ポルトガル語	6.19
d	ポルトガル語	4.99
m	ポルトガル語	4.74
n	ポルトガル語	4.45
t	ポルトガル語	4.34
c	ポルトガル語	3.88
u	ポルトガル語	3.64
l	ポルトガル語	2.78
p	ポルトガル語	2.52
v	ポルトガル語	1.58
g	ポルトガル語	1.3
q	ポルトガル語	1.2
b	ポルトガル語	1.04
f	ポルトガル語	1.02
h	ポルトガル語	0.78
z	ポルトガル語	0.47
j	ポルトガル語	0.4
x	ポルトガル語	0.25
w	ポルトガル語	0.04
k	ポルトガル語	0.02
y	ポルトガル語	0.01
e	スペイン語	12.18
a	スペイン語	11.53
o	スペイン語	8.68
s	スペイン語	7.98
r	スペイン語	6.87
n	スペイン語	6.71
i	スペイン語	6.25
d	スペイン語	5.01
l	スペイン語	4.97
t	スペイン語	4.63
c	スペイン語	4.02
m	スペイン語	3.16
u	スペイン語	2.93
p	スペイン語	2.51
b	スペイン語	2.22
g	スペイン語	1.77
v	スペイン語	1.14
y	スペイン語	1.01
q	スペイン語	0.88
h	スペイン語	0.7
f	スペイン語	0.69
j	スペイン語	0.49
z	スペイン語	0.47
x	スペイン語	0.22
w	スペイン語	0.02
k	スペイン語	0.01
e	スウェーデン語	10.15
a	スウェーデン語	9.38
n	スウェーデン語	8.54
r	スウェーデン語	8.43
t	スウェーデン語	7.69
s	スウェーデン語	6.59
i	スウェーデン語	5.82
l	スウェーデン語	5.28
d	スウェーデン語	4.7
o	スウェーデン語	4.48
m	スウェーデン語	3.47
k	スウェーデン語	3.14
g	スウェーデン語	2.86
v	スウェーデン語	2.42
h	スウェーデン語	2.09
f	スウェーデン語	2.03
u	スウェーデン語	1.92
p	スウェーデン語	1.84
b	スウェーデン語	1.54
c	スウェーデン語	1.49
y	スウェーデン語	0.71
j	スウェーデン語	0.61
x	スウェーデン語	0.16
w	スウェーデン語	0.14
z	スウェーデン語	0.07
q	スウェーデン語	0.02
a	トルコ語	11.92
e	トルコ語	8.91
i	トルコ語	8.6
n	トルコ語	7.49
r	トルコ語	6.72
l	トルコ語	5.92
d	トルコ語	4.71
k	トルコ語	4.68
m	トルコ語	3.75
y	トルコ語	3.34
t	トルコ語	3.31
u	トルコ語	3.24
s	トルコ語	3.01
b	トルコ語	2.84
o	トルコ語	2.48
z	トルコ語	1.5
g	トルコ語	1.25
h	トルコ語	1.21
c	トルコ語	0.96
v	トルコ語	0.96
p	トルコ語	0.89
f	トルコ語	0.46
j	トルコ語	0.03
q	トルコ語	0
w	トルコ語	0
x	トルコ語	0
